cust_id,lookalikes
C0001,"[('C0184', 0.9935), ('C0048', 0.982), ('C0190', 0.9645)]"
C0002,"[('C0088', 0.9961), ('C0092', 0.8988), ('C0077', 0.859)]"
C0003,"[('C0076', 0.9404), ('C0052', 0.9075), ('C0031', 0.8921)]"
C0004,"[('C0165', 0.984), ('C0169', 0.981), ('C0087', 0.9627)]"
C0005,"[('C0186', 0.9969), ('C0140', 0.9912), ('C0146', 0.9852)]"
C0006,"[('C0187', 0.979), ('C0126', 0.9785), ('C0011', 0.9571)]"
C0007,"[('C0146', 1.0), ('C0005', 0.9847), ('C0115', 0.9749)]"
C0008,"[('C0065', 0.8535), ('C0136', 0.8478), ('C0059', 0.8477)]"
C0009,"[('C0198', 1.0), ('C0061', 0.9675), ('C0062', 0.9583)]"
C0010,"[('C0062', 0.9396), ('C0111', 0.9244), ('C0103', 0.8649)]"
C0011,"[('C0006', 0.9571), ('C0137', 0.9276), ('C0126', 0.9218)]"
C0012,"[('C0163', 0.9927), ('C0104', 0.9716), ('C0113', 0.9713)]"
C0013,"[('C0099', 0.986), ('C0108', 0.961), ('C0155', 0.8791)]"
C0014,"[('C0060', 0.9994), ('C0097', 0.9353), ('C0128', 0.9344)]"
C0015,"[('C0131', 0.982), ('C0036', 0.9698), ('C0094', 0.9355)]"
C0016,"[('C0183', 0.9763), ('C0067', 0.9006), ('C0098', 0.8668)]"
C0017,"[('C0075', 0.9713), ('C0041', 0.9657), ('C0057', 0.9174)]"
C0018,"[('C0122', 0.9885), ('C0046', 0.9792), ('C0156', 0.9034)]"
C0019,"[('C0073', 0.9928), ('C0132', 0.9511), ('C0167', 0.939)]"
C0020,"[('C0015', 0.9186), ('C0140', 0.9058), ('C0186', 0.8987)]"
