CustomerID,Cluster
C0001,0
C0002,3
C0003,0
C0004,2
C0005,1
C0006,1
C0007,1
C0008,2
C0009,1
C0010,3
C0011,0
C0012,2
C0013,2
C0014,3
C0015,1
C0016,1
C0017,2
C0018,2
C0019,0
C0020,1
C0021,2
C0022,0
C0023,1
C0024,0
C0025,3
C0026,0
C0027,0
C0028,2
C0029,3
C0030,0
C0031,0
C0032,3
C0033,3
C0034,0
C0035,0
C0036,3
C0037,0
C0038,0
C0039,0
C0040,1
C0041,2
C0042,1
C0043,3
C0044,1
C0045,2
C0046,2
C0047,0
C0048,1
C0049,0
C0050,1
C0051,2
C0052,0
C0053,2
C0054,2
C0055,0
C0056,0
C0057,0
C0058,1
C0059,2
C0060,3
C0061,1
C0062,3
C0063,3
C0064,0
C0065,2
C0066,1
C0067,0
C0068,2
C0069,0
C0070,0
C0071,3
C0072,0
C0073,0
C0074,1
C0075,2
C0076,0
C0077,3
C0078,1
C0079,1
C0080,1
C0081,0
C0082,2
C0083,3
C0084,2
C0085,1
C0086,0
C0087,2
C0088,0
C0089,1
C0090,0
C0091,0
C0092,1
C0093,2
C0094,3
C0095,3
C0096,2
C0097,3
C0098,0
C0099,2
C0100,2
C0101,2
C0102,2
C0103,1
C0104,2
C0105,2
C0106,0
C0107,0
C0108,2
C0109,2
C0110,3
C0111,3
C0112,3
C0113,2
C0114,2
C0115,1
C0116,0
C0117,0
C0118,1
C0119,3
C0120,1
C0121,3
C0122,2
C0123,1
C0124,2
C0125,1
C0126,0
C0127,1
C0128,1
C0129,0
C0130,1
C0131,1
C0132,0
C0133,1
C0134,0
C0135,1
C0136,2
C0137,0
C0138,2
C0139,0
C0140,1
C0141,2
C0142,3
C0143,2
C0144,3
C0145,2
C0146,1
C0147,0
C0148,2
C0149,0
C0150,1
C0151,3
C0152,0
C0153,2
C0154,0
C0155,2
C0156,2
C0157,3
C0158,1
C0159,0
C0160,0
C0161,0
C0162,2
C0163,2
C0164,0
C0165,2
C0166,0
C0167,1
C0168,1
C0169,2
C0170,2
C0171,2
C0172,3
C0173,2
C0174,0
C0175,2
C0176,0
C0177,0
C0178,0
C0179,0
C0181,0
C0182,2
C0183,0
C0184,1
C0185,1
C0186,1
C0187,1
C0188,2
C0189,0
C0190,0
C0191,0
C0192,1
C0193,0
C0194,0
C0195,0
C0196,1
C0197,3
C0198,3
C0199,0
C0200,2
